STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/11/1999,73,85,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/12/1999,67,77,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/13/1999,71,80,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/14/1999,69,77,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/15/1999,73,88,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/16/1999,80,94,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/17/1999,82,96,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/18/1999,84,96,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/19/1999,85,98,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/20/1999,77,83,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/21/1999,77,84,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/22/1999,82,90,73
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/23/1999,84,96,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/24/1999,84,93,75
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/25/1999,83,95,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/26/1999,80,91,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/27/1999,80,92,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/28/1999,81,94,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/29/1999,79,92,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/30/1999,81,93,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/31/1999,85,99,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/1/1999,85,95,75
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/2/1999,77,88,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/3/1999,78,88,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/4/1999,74,87,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/5/1999,77,90,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/6/1999,76,91,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/7/1999,76,87,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/8/1999,78,84,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/9/1999,71,82,59
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/10/1999,70,85,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/11/1999,83,95,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/12/1999,80,92,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/13/1999,84,94,73
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/14/1999,83,93,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/15/1999,75,81,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/16/1999,76,88,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/17/1999,84,96,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/18/1999,80,91,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/19/1999,75,85,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/20/1999,75,83,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/21/1999,69,74,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/22/1999,72,82,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/23/1999,70,82,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8/24/1999,75,81,68
